,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
43,5.200.000 TL,İstanbul,Sarıyer,Maslak,Satılık,Daire,1 + 1,85 m2,60 m2,20. Kat,13 Yaşında,Eşyalı,1,Betonarme,Mashattan Konutları,Elektrik
44,2.350.000 TL,İstanbul,Esenyurt,PiriReis,Satılık,Daire,2 + 1,105 m2,85 m2,7. Kat,3 Yaşında,Eşyalı Değil,1,Betonarme,Papatya Park Residen,Doğalgaz
45,1.850.000 TL,İstanbul,Beylikdüzü,Cuhuriyet,Satılık,Daire,3 + 1,140 m2,125 m2,8. Kat,25 Yaşında,Eşyalı Değil,1,Betonarme,Basın Doğa Site,Doğalgaz
46,38.500.000 TL,İstanbul,Kadıköy,Caddebostan,Satılık,Residence,4 + 1,250 m2,210 m2,2. Kat,10 Yaşında,Eşyalı Değil,3,Betonarme,Polat evleri,Doğalgaz
47,2.800.000 TL,İstanbul,Bağcılar,Mahutbey,Satılık,Daire,2 + 1,148 m2,133 m2,2. Kat,4 Yaşında,Eşyalı Değil,2,Betonarme,Corner Life,Doğalgaz
48,2.500.000 TL,İstanbul,Esenyurt,Güzelyurt,Satılık,Daire,3 + 1,170 m2,145 m2,6. Kat,3 Yaşında,Eşyalı Değil,2,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
49,4.700.000 TL,İstanbul,Tuzla,İstasyon,Satılık,Daire,4 + 2,252 m2,240 m2,3. Kat,13 Yaşında,Eşyalı Değil,2,Betonarme,ECEM EVLERİ SİTESİ,Doğalgaz
50,950.000 TL,İstanbul,Silivri,Yeni,Satılık,Daire,3 + 1,125 m2,110 m2,2. Kat,22 Yaşında,Eşyalı Değil,2,Betonarme,GELİŞİM SİTESİ,Doğalgaz
51,13.800.000 TL,İstanbul,Şişli,Fulya,Satılık,Residence,2 + 1,175 m2,100 m2,21 ve üzeri,5 Yaşında,Eşyalı Değil,2,Betonarme,Quasar,Elektrik
52,12.400.000 TL,İstanbul,Kadıköy,Caddebostan,Satılık,Daire,4 + 1,200 m2,150 m2,11. Kat,Sıfır Bina,Eşyalı Değil,2,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
53,11.900.000 TL,İstanbul,Ataşehir,Barbaros,Satılık,Daire,5 + 1,280 m2,232 m2,Giriş Katı,8 Yaşında,Eşyalı Değil,3,Betonarme,UPHİLL COURT,Doğalgaz
54,3.500.000 TL,İstanbul,Üraniye,Tatlısu,Satılık,Daire,3 + 1,130 m2,118 m2,9. Kat,12 Yaşında,Eşyalı Değil,2,Betonarme,ALYA PARK,Doğalgaz
55,6.900.000 TL,İstanbul,Üsküdar,Barbaros,Satılık,Daire,4 + 1,165 m2,145 m2,5. Kat,Sıfır Bina,Eşyalı Değil,2,Betonarme,Azade Evleri,Doğalgaz
56,8.000.000 TL,İstanbul,Kadıköy,Bostancı,Satılık,Daire,3 + 2,240 m2,180 m2,En Üst Kat,7 Yaşında,Eşyalı Değil,3,Betonarme,Ezgi evleri,Doğalgaz
57,5.300.000 TL,İstanbul,Sarıyer,Uskuruköy,Satılık,Daire,2 + 1,115 m2,90 m2,Çatı Katı,5 Yaşında,Eşyalı Değil,2,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
58,1.899.000 TL,İstanbul,Başakşehir,Bahçeşehir2.Kısı,Satılık,Daire,3 + 1,175 m2,160 m2,6. Kat,20 Yaşında,Eşyalı Değil,1,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
59,6.500.000 TL,İstanbul,Beşiktaş,Akat,Satılık,Daire,4 + 1,170 m2,165 m2,En Üst Kat,24 Yaşında,Eşyalı Değil,2,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
60,6.450.000 TL,İstanbul,Kadıköy,Kozyatağı,Satılık,Daire,3 + 1,168 m2,130 m2,20. Kat,15 Yaşında,Eşyalı Değil,2,Betonarme,BAYTUR KOZYATAĞI KON,Doğalgaz
61,8.400.000 TL,İstanbul,Sarıyer,Maslak,Satılık,Daire,3 + 1,170 m2,135 m2,Ara Kat,1 Yaşında,Eşyalı Değil,2,Betonarme,MASHATTAN,Doğalgaz
62,960.000 TL,İstanbul,Bağcılar,Deirkapı,Satılık,Daire,2 + 1,80 m2,70 m2,8. Kat,25 Yaşında,Eşyalı Değil,1,Betonarme,Topakent Sitesi,Doğalgaz
63,5.500.000 TL,İstanbul,Kadıköy,Dulupınar,Satılık,Daire,3 + 1,130 m2,102 m2,18. Kat,3 Yaşında,Eşyalı Değil,2,Betonarme,brooklyn park,Doğalgaz
64,1.529.000 TL,İstanbul,Esenyurt,Cuhuriyet,Satılık,Daire,2 + 1,120 m2,110 m2,6. Kat,Sıfır Bina,Eşyalı Değil,2,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
65,1.600.000 TL,İstanbul,Büyükçekece,Miaroba,Satılık,Daire,3 + 1,130 m2,120 m2,Bahçe Katı,25 Yaşında,Eşyalı Değil,1,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
66,1.150.000 TL,İstanbul,Çekeköy,Çalık,Satılık,Daire,2 + 1,80 m2,70 m2,5. Kat,22 Yaşında,Eşyalı Değil,1,Betonarme,Akbil,Doğalgaz
67,5.150.000 TL,İstanbul,Eyüpsultan,GöktürkMerkez,Satılık,Daire,3 + 1,170 m2,155 m2,Ara Kat,12 Yaşında,Eşyalı Değil,2,Betonarme,ARCADIUM,Doğalgaz
68,3.500.000 TL,İstanbul,Üraniye,Esenevler,Satılık,Daire,3 + 1,120 m2,90 m2,4. Kat,Sıfır Bina,Eşyalı Değil,1,Betonarme,SEBA HAYAT,Doğalgaz
69,1.950.000 TL,İstanbul,Çekeköy,Taşdelen,Satılık,Daire,2 + 1,105 m2,85 m2,12. Kat,Sıfır Bina,Eşyalı Değil,2,Betonarme,HAYPARK,Doğalgaz
70,800.000 TL,İstanbul,Esenyurt,Mehterçeşe,Satılık,Daire,2 + 1,110 m2,90 m2,10. Kat,Sıfır Bina,Eşyalı Değil,2,Betonarme,Atatürk,Doğalgaz
71,3.500.000 TL,İstanbul,Başakşehir,Bahçeşehir2.Kısı,Satılık,Daire,4 + 1,200 m2,190 m2,Giriş Katı,5 Yaşında,Eşyalı Değil,4,Betonarme,Spradon Vadi Evleri,Doğalgaz
72,3.450.000 TL,İstanbul,Sarıyer,Zekeriyaköy,Satılık,Daire,2 + 1,100 m2,95 m2,1. Kat,20 Yaşında,Eşyalı Değil,1,Betonarme,kiptaş,Doğalgaz
73,9.900.000 TL,İstanbul,Beşiktaş,Ulus,Satılık,Daire,3 + 1,189 m2,175 m2,3. Kat,30 Yaşında,Eşyalı,2,Betonarme,Ulus Kamer Sitesi,Doğalgaz
74,7.500.000 TL,İstanbul,Kadıköy,19Mayıs,Satılık,Daire,4 + 1,190 m2,160 m2,7. Kat,20 Yaşında,Eşyalı Değil,2,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
75,8.500.000 TL,İstanbul,Beşiktaş,Etiler,Satılık,Daire,2 + 1,90 m2,80 m2,Bahçe Katı,Sıfır Bina,Eşyalı Değil,1,Betonarme,Maanaa Etiler,Doğalgaz
76,1.850.000 TL,İstanbul,Bağcılar,15Teuz,Satılık,Residence,1 + 1,73 m2,46 m2,8. Kat,4 Yaşında,Eşyalı Değil,1,Betonarme,Mırage Residence,Doğalgaz
77,1.430.000 TL,İstanbul,Esenyurt,Zafer,Satılık,Daire,1 + 1,80 m2,68 m2,15. Kat,3 Yaşında,Eşyalı Değil,1,Betonarme,Babacan Premium,Doğalgaz
78,23.500.000 TL,İstanbul,Zeytinburnu,Kazlıçeşe,Satılık,Daire,5 + 1,235 m2,200 m2,14. Kat,1 Yaşında,Eşyalı Değil,3,Betonarme,YEDİMAVİ,Doğalgaz
